Product Group,Industry,Month,Monthly Spend (£000s)
"Government, health and education","Distribution, transport, hotels and restaurants industry",2023-10,112225.19
"Government, health and education","Distribution, transport, hotels and restaurants industry",2023-11,22355.98
"Government, health and education","Distribution, transport, hotels and restaurants industry",2023-12,27315.84
Other services,"Distribution, transport, hotels and restaurants industry",2023-01,71251.56
Other services,"Distribution, transport, hotels and restaurants industry",2023-02,4871.62
Other services,"Distribution, transport, hotels and restaurants industry",2023-03,1117.9
Other services,"Distribution, transport, hotels and restaurants industry",2023-04,22277.0
Other services,"Distribution, transport, hotels and restaurants industry",2023-05,77911.65
Other services,"Distribution, transport, hotels and restaurants industry",2023-06,25511.56
Other services,"Distribution, transport, hotels and restaurants industry",2023-07,34789.88
Other services,"Distribution, transport, hotels and restaurants industry",2023-08,170425.97
Other services,"Distribution, transport, hotels and restaurants industry",2023-09,276496.84
Other services,"Distribution, transport, hotels and restaurants industry",2023-10,70561.06
Other services,"Distribution, transport, hotels and restaurants industry",2023-11,103669.55
Other services,"Distribution, transport, hotels and restaurants industry",2023-12,60151.41
Total [note 4],"Distribution, transport, hotels and restaurants industry",2023-01,46053738.73
Total [note 4],"Distribution, transport, hotels and restaurants industry",2023-02,7808769.54
Total [note 4],"Distribution, transport, hotels and restaurants industry",2023-03,45872527.41
Total [note 4],"Distribution, transport, hotels and restaurants industry",2023-04,8949288.82
Total [note 4],"Distribution, transport, hotels and restaurants industry",2023-05,20700124.3
Total [note 4],"Distribution, transport, hotels and restaurants industry",2023-06,16806882.86
Total [note 4],"Distribution, transport, hotels and restaurants industry",2023-07,9898715.7
Total [note 4],"Distribution, transport, hotels and restaurants industry",2023-08,19423486.72
Total [note 4],"Distribution, transport, hotels and restaurants industry",2023-09,3246658.17
Total [note 4],"Distribution, transport, hotels and restaurants industry",2023-10,86498580.02
Total [note 4],"Distribution, transport, hotels and restaurants industry",2023-11,23189867.06
Total [note 4],"Distribution, transport, hotels and restaurants industry",2023-12,66883646.66
Agriculture,Information and communication industry,2023-01,316.79
Agriculture,Information and communication industry,2023-02,578.13
Agriculture,Information and communication industry,2023-03,29.04
Agriculture,Information and communication industry,2023-04,65.29
Agriculture,Information and communication industry,2023-05,18.85
Agriculture,Information and communication industry,2023-06,889.08
Agriculture,Information and communication industry,2023-07,143.17
Agriculture,Information and communication industry,2023-08,146.38
Agriculture,Information and communication industry,2023-09,242.49
Agriculture,Information and communication industry,2023-10,587.26
Agriculture,Information and communication industry,2023-11,370.1
Agriculture,Information and communication industry,2023-12,773.43
Production,Information and communication industry,2023-01,1762391.4
Production,Information and communication industry,2023-02,1506186.02
Production,Information and communication industry,2023-03,99800.53
Production,Information and communication industry,2023-04,2015664.19
Production,Information and communication industry,2023-05,1871347.9
Production,Information and communication industry,2023-06,1063639.79
Production,Information and communication industry,2023-07,456706.44
Production,Information and communication industry,2023-08,556382.41
Production,Information and communication industry,2023-09,2466966.52
Production,Information and communication industry,2023-10,258116.9
Production,Information and communication industry,2023-11,479538.61
Production,Information and communication industry,2023-12,586367.3
Construction,Information and communication industry,2023-01,28834.97
Construction,Information and communication industry,2023-02,4215.23
Construction,Information and communication industry,2023-03,4109.29
Construction,Information and communication industry,2023-04,4150.55
Construction,Information and communication industry,2023-05,36777.23
Construction,Information and communication industry,2023-06,3229.59
Construction,Information and communication industry,2023-07,9142.76
Construction,Information and communication industry,2023-08,6013.14
Construction,Information and communication industry,2023-09,38935.52
Construction,Information and communication industry,2023-10,47133.65
Construction,Information and communication industry,2023-11,21816.48
Construction,Information and communication industry,2023-12,53217.59
"Distribution, transport, hotels and restaurants",Information and communication industry,2023-01,455315.5
"Distribution, transport, hotels and restaurants",Information and communication industry,2023-02,371400.76
"Distribution, transport, hotels and restaurants",Information and communication industry,2023-03,16489.39
"Distribution, transport, hotels and restaurants",Information and communication industry,2023-04,196820.67
"Distribution, transport, hotels and restaurants",Information and communication industry,2023-05,605347.64
"Distribution, transport, hotels and restaurants",Information and communication industry,2023-06,395229.81
"Distribution, transport, hotels and restaurants",Information and communication industry,2023-07,12220.04
"Distribution, transport, hotels and restaurants",Information and communication industry,2023-08,514332.24
"Distribution, transport, hotels and restaurants",Information and communication industry,2023-09,1660219.87
"Distribution, transport, hotels and restaurants",Information and communication industry,2023-10,193819.07
"Distribution, transport, hotels and restaurants",Information and communication industry,2023-11,14991.7
"Distribution, transport, hotels and restaurants",Information and communication industry,2023-12,272970.32
Information and communication,Information and communication industry,2023-01,4147148.55
Information and communication,Information and communication industry,2023-02,937957.37
Information and communication,Information and communication industry,2023-03,10616459.95
Information and communication,Information and communication industry,2023-04,9236702.91
Information and communication,Information and communication industry,2023-05,1137062.82
Information and communication,Information and communication industry,2023-06,2158437.04
Information and communication,Information and communication industry,2023-07,3330783.23
Information and communication,Information and communication industry,2023-08,17013628.76
Information and communication,Information and communication industry,2023-09,3799689.89
Information and communication,Information and communication industry,2023-10,4465433.44
Information and communication,Information and communication industry,2023-11,959501.28
Information and communication,Information and communication industry,2023-12,16126221.74
Finance and insurance,Information and communication industry,2023-01,192239.07
Finance and insurance,Information and communication industry,2023-02,8481.07
Finance and insurance,Information and communication industry,2023-03,471102.79
Finance and insurance,Information and communication industry,2023-04,43281.47
Finance and insurance,Information and communication industry,2023-05,75348.11
Finance and insurance,Information and communication industry,2023-06,154067.4
Finance and insurance,Information and communication industry,2023-07,370209.44
Finance and insurance,Information and communication industry,2023-08,47175.08
Finance and insurance,Information and communication industry,2023-09,438707.14
Finance and insurance,Information and communication industry,2023-10,89043.12
Finance and insurance,Information and communication industry,2023-11,223669.31
Finance and insurance,Information and communication industry,2023-12,179921.98
Real estate,Information and communication industry,2023-01,212753.47
Real estate,Information and communication industry,2023-02,448620.16
Real estate,Information and communication industry,2023-03,1548.8
Real estate,Information and communication industry,2023-04,144970.64
Real estate,Information and communication industry,2023-05,1500869.55
Real estate,Information and communication industry,2023-06,61356.64
Real estate,Information and communication industry,2023-07,218281.8
Real estate,Information and communication industry,2023-08,115328.05
Real estate,Information and communication industry,2023-09,425671.76
Real estate,Information and communication industry,2023-10,369286.65
Real estate,Information and communication industry,2023-11,1490628.23
Real estate,Information and communication industry,2023-12,125956.23
Professional and support activities,Information and communication industry,2023-01,989664.16
Professional and support activities,Information and communication industry,2023-02,7077509.09
Professional and support activities,Information and communication industry,2023-03,7669077.95
Professional and support activities,Information and communication industry,2023-04,907540.03
Professional and support activities,Information and communication industry,2023-05,13410430.0
Professional and support activities,Information and communication industry,2023-06,8025154.33
Professional and support activities,Information and communication industry,2023-07,934061.62
Professional and support activities,Information and communication industry,2023-08,2589871.27
Professional and support activities,Information and communication industry,2023-09,2708543.04
Professional and support activities,Information and communication industry,2023-10,2118686.97
Professional and support activities,Information and communication industry,2023-11,4371241.54
Professional and support activities,Information and communication industry,2023-12,815883.0
"Government, health and education",Information and communication industry,2023-01,27692.35
"Government, health and education",Information and communication industry,2023-02,239.04
"Government, health and education",Information and communication industry,2023-03,21506.72
"Government, health and education",Information and communication industry,2023-04,113382.8
"Government, health and education",Information and communication industry,2023-05,211871.5
"Government, health and education",Information and communication industry,2023-06,108548.4
"Government, health and education",Information and communication industry,2023-07,13720.57
"Government, health and education",Information and communication industry,2023-08,24147.35
"Government, health and education",Information and communication industry,2023-09,110312.4
"Government, health and education",Information and communication industry,2023-10,6247.23
"Government, health and education",Information and communication industry,2023-11,10455.95
"Government, health and education",Information and communication industry,2023-12,21795.69
Other services,Information and communication industry,2023-01,244489.75
Other services,Information and communication industry,2023-02,455235.33
Other services,Information and communication industry,2023-03,348358.56
Other services,Information and communication industry,2023-04,79079.0
Other services,Information and communication industry,2023-05,44605.11
Other services,Information and communication industry,2023-06,363250.63
Other services,Information and communication industry,2023-07,191724.71
Other services,Information and communication industry,2023-08,72265.23
Other services,Information and communication industry,2023-09,40486.73
Other services,Information and communication industry,2023-10,485540.12
Other services,Information and communication industry,2023-11,10828.75
Other services,Information and communication industry,2023-12,157517.09
Total [note 4],Information and communication industry,2023-01,29660692.91
Total [note 4],Information and communication industry,2023-02,4998540.27
Total [note 4],Information and communication industry,2023-03,2409344.04
Total [note 4],Information and communication industry,2023-04,18858128.86
Total [note 4],Information and communication industry,2023-05,3978632.06
Total [note 4],Information and communication industry,2023-06,3777552.48
Total [note 4],Information and communication industry,2023-07,5501239.6
Total [note 4],Information and communication industry,2023-08,3944887.61
Total [note 4],Information and communication industry,2023-09,35235428.37
Total [note 4],Information and communication industry,2023-10,23921163.63
Total [note 4],Information and communication industry,2023-11,19341719.78
Total [note 4],Information and communication industry,2023-12,2585180.41
Agriculture,Finance and insurance industry [note 3],2023-01,122.36
Agriculture,Finance and insurance industry [note 3],2023-02,148.11
Agriculture,Finance and insurance industry [note 3],2023-03,82.14
Agriculture,Finance and insurance industry [note 3],2023-04,5.21
Agriculture,Finance and insurance industry [note 3],2023-05,24.42
Agriculture,Finance and insurance industry [note 3],2023-06,134.11
Agriculture,Finance and insurance industry [note 3],2023-07,131.39
Agriculture,Finance and insurance industry [note 3],2023-08,48.52
Agriculture,Finance and insurance industry [note 3],2023-09,56.15
Agriculture,Finance and insurance industry [note 3],2023-10,32.72
Agriculture,Finance and insurance industry [note 3],2023-11,3.99
Agriculture,Finance and insurance industry [note 3],2023-12,13.89
Production,Finance and insurance industry [note 3],2023-01,62739.72
Production,Finance and insurance industry [note 3],2023-02,36372.44
Production,Finance and insurance industry [note 3],2023-03,119791.23
Production,Finance and insurance industry [note 3],2023-04,255395.67
Production,Finance and insurance industry [note 3],2023-05,165245.68
Production,Finance and insurance industry [note 3],2023-06,125459.61
Production,Finance and insurance industry [note 3],2023-07,285347.25
Production,Finance and insurance industry [note 3],2023-08,65621.82
Production,Finance and insurance industry [note 3],2023-09,101865.57
Production,Finance and insurance industry [note 3],2023-10,259091.95
Production,Finance and insurance industry [note 3],2023-11,71621.3
Production,Finance and insurance industry [note 3],2023-12,228051.75
Construction,Finance and insurance industry [note 3],2023-01,10382.63
Construction,Finance and insurance industry [note 3],2023-02,1297.15
Construction,Finance and insurance industry [note 3],2023-03,570.8
Construction,Finance and insurance industry [note 3],2023-04,7019.15
Construction,Finance and insurance industry [note 3],2023-05,13303.54
Construction,Finance and insurance industry [note 3],2023-06,5878.88
Construction,Finance and insurance industry [note 3],2023-07,19810.21
Construction,Finance and insurance industry [note 3],2023-08,13609.49
Construction,Finance and insurance industry [note 3],2023-09,8528.56
Construction,Finance and insurance industry [note 3],2023-10,23341.64
Construction,Finance and insurance industry [note 3],2023-11,6519.24
Construction,Finance and insurance industry [note 3],2023-12,14182.71
"Distribution, transport, hotels and restaurants",Finance and insurance industry [note 3],2023-01,272306.18
"Distribution, transport, hotels and restaurants",Finance and insurance industry [note 3],2023-02,4354.03
"Distribution, transport, hotels and restaurants",Finance and insurance industry [note 3],2023-03,23880.05
"Distribution, transport, hotels and restaurants",Finance and insurance industry [note 3],2023-04,208071.57
"Distribution, transport, hotels and restaurants",Finance and insurance industry [note 3],2023-05,22803.04
"Distribution, transport, hotels and restaurants",Finance and insurance industry [note 3],2023-06,139710.04
"Distribution, transport, hotels and restaurants",Finance and insurance industry [note 3],2023-07,56955.93
"Distribution, transport, hotels and restaurants",Finance and insurance industry [note 3],2023-08,357078.67
"Distribution, transport, hotels and restaurants",Finance and insurance industry [note 3],2023-09,44062.85
"Distribution, transport, hotels and restaurants",Finance and insurance industry [note 3],2023-10,75862.15
"Distribution, transport, hotels and restaurants",Finance and insurance industry [note 3],2023-11,73293.69
"Distribution, transport, hotels and restaurants",Finance and insurance industry [note 3],2023-12,871973.79
Information and communication,Finance and insurance industry [note 3],2023-01,1303638.83
Information and communication,Finance and insurance industry [note 3],2023-02,21506.21
Information and communication,Finance and insurance industry [note 3],2023-03,724618.06
Information and communication,Finance and insurance industry [note 3],2023-04,24738.63
Information and communication,Finance and insurance industry [note 3],2023-05,2836261.6
Information and communication,Finance and insurance industry [note 3],2023-06,698113.88
Information and communication,Finance and insurance industry [note 3],2023-07,210615.67
Information and communication,Finance and insurance industry [note 3],2023-08,371392.3
Information and communication,Finance and insurance industry [note 3],2023-09,94987.01
Information and communication,Finance and insurance industry [note 3],2023-10,1378047.82
Information and communication,Finance and insurance industry [note 3],2023-11,95904.39
Information and communication,Finance and insurance industry [note 3],2023-12,4064453.6
Finance and insurance,Finance and insurance industry [note 3],2023-01,320102.97
Finance and insurance,Finance and insurance industry [note 3],2023-02,15451.34
Finance and insurance,Finance and insurance industry [note 3],2023-03,358928.65
Finance and insurance,Finance and insurance industry [note 3],2023-04,774304.12
Finance and insurance,Finance and insurance industry [note 3],2023-05,679036.25
Finance and insurance,Finance and insurance industry [note 3],2023-06,76889.83
Finance and insurance,Finance and insurance industry [note 3],2023-07,478423.56
Finance and insurance,Finance and insurance industry [note 3],2023-08,454372.15
Finance and insurance,Finance and insurance industry [note 3],2023-09,4255300.06
Finance and insurance,Finance and insurance industry [note 3],2023-10,616271.38
Finance and insurance,Finance and insurance industry [note 3],2023-11,105754.69
Finance and insurance,Finance and insurance industry [note 3],2023-12,1522733.98
Real estate,Finance and insurance industry [note 3],2023-01,90045.31
Real estate,Finance and insurance industry [note 3],2023-02,274169.97
Real estate,Finance and insurance industry [note 3],2023-03,57311.44
Real estate,Finance and insurance industry [note 3],2023-04,162837.97
Real estate,Finance and insurance industry [note 3],2023-05,204096.76
Real estate,Finance and insurance industry [note 3],2023-06,46475.56
Real estate,Finance and insurance industry [note 3],2023-07,428763.04
Real estate,Finance and insurance industry [note 3],2023-08,188574.35
Real estate,Finance and insurance industry [note 3],2023-09,290151.79
Real estate,Finance and insurance industry [note 3],2023-10,7079.77
Real estate,Finance and insurance industry [note 3],2023-11,196226.04
Real estate,Finance and insurance industry [note 3],2023-12,66584.99
Professional and support activities,Finance and insurance industry [note 3],2023-01,174374.19
Professional and support activities,Finance and insurance industry [note 3],2023-02,781151.61
Professional and support activities,Finance and insurance industry [note 3],2023-03,150122.58
Professional and support activities,Finance and insurance industry [note 3],2023-04,1737267.58
Professional and support activities,Finance and insurance industry [note 3],2023-05,1556089.91
Professional and support activities,Finance and insurance industry [note 3],2023-06,2349018.16
Professional and support activities,Finance and insurance industry [note 3],2023-07,19409.09
Professional and support activities,Finance and insurance industry [note 3],2023-08,684753.41
Professional and support activities,Finance and insurance industry [note 3],2023-09,2819790.37
Professional and support activities,Finance and insurance industry [note 3],2023-10,16697.16
Professional and support activities,Finance and insurance industry [note 3],2023-11,1993509.46
Professional and support activities,Finance and insurance industry [note 3],2023-12,505322.48
"Government, health and education",Finance and insurance industry [note 3],2023-01,10611.39
"Government, health and education",Finance and insurance industry [note 3],2023-02,71407.87
"Government, health and education",Finance and insurance industry [note 3],2023-03,59055.21
"Government, health and education",Finance and insurance industry [note 3],2023-04,3370.5
"Government, health and education",Finance and insurance industry [note 3],2023-05,20278.9
"Government, health and education",Finance and insurance industry [note 3],2023-06,21511.91
"Government, health and education",Finance and insurance industry [note 3],2023-07,9120.04
"Government, health and education",Finance and insurance industry [note 3],2023-08,44466.78
"Government, health and education",Finance and insurance industry [note 3],2023-09,13414.1
"Government, health and education",Finance and insurance industry [note 3],2023-10,335.9
"Government, health and education",Finance and insurance industry [note 3],2023-11,46299.06
"Government, health and education",Finance and insurance industry [note 3],2023-12,13734.33
Other services,Finance and insurance industry [note 3],2023-01,6782.15
Other services,Finance and insurance industry [note 3],2023-02,31991.01
Other services,Finance and insurance industry [note 3],2023-03,52954.3
Other services,Finance and insurance industry [note 3],2023-04,2872.92
Other services,Finance and insurance industry [note 3],2023-05,10547.34
Other services,Finance and insurance industry [note 3],2023-06,1867.93
Other services,Finance and insurance industry [note 3],2023-07,32414.26
Other services,Finance and insurance industry [note 3],2023-08,10008.12
Other services,Finance and insurance industry [note 3],2023-09,1450.52
Other services,Finance and insurance industry [note 3],2023-10,14788.0
Other services,Finance and insurance industry [note 3],2023-11,124697.4
Other services,Finance and insurance industry [note 3],2023-12,19589.04
Total [note 4],Finance and insurance industry [note 3],2023-01,16055190.43
Total [note 4],Finance and insurance industry [note 3],2023-02,1451159.36
Total [note 4],Finance and insurance industry [note 3],2023-03,1148259.58
Total [note 4],Finance and insurance industry [note 3],2023-04,1752662.34
Total [note 4],Finance and insurance industry [note 3],2023-05,646679.1
Total [note 4],Finance and insurance industry [note 3],2023-06,1397056.68
Total [note 4],Finance and insurance industry [note 3],2023-07,6433857.86
Total [note 4],Finance and insurance industry [note 3],2023-08,5040817.21
Total [note 4],Finance and insurance industry [note 3],2023-09,4606417.96
Total [note 4],Finance and insurance industry [note 3],2023-10,57551.84
Total [note 4],Finance and insurance industry [note 3],2023-11,807088.35
Total [note 4],Finance and insurance industry [note 3],2023-12,1560700.3
Agriculture,Real estate industry,2023-01,3390.26
Agriculture,Real estate industry,2023-02,4073.33
Agriculture,Real estate industry,2023-03,477.71
Agriculture,Real estate industry,2023-04,2582.24
Agriculture,Real estate industry,2023-05,7118.14
Agriculture,Real estate industry,2023-06,1788.93
Agriculture,Real estate industry,2023-07,9281.97
Agriculture,Real estate industry,2023-08,4709.6
Agriculture,Real estate industry,2023-09,1624.39
Agriculture,Real estate industry,2023-10,9797.25
Agriculture,Real estate industry,2023-11,14473.71
Agriculture,Real estate industry,2023-12,1601.49
Production,Real estate industry,2023-01,49760.31
Production,Real estate industry,2023-02,378809.62
Production,Real estate industry,2023-03,95626.9
Production,Real estate industry,2023-04,575173.18
Production,Real estate industry,2023-05,313643.58
Production,Real estate industry,2023-06,61808.59
Production,Real estate industry,2023-07,241481.46
Production,Real estate industry,2023-08,485369.23
Production,Real estate industry,2023-09,960684.46
Production,Real estate industry,2023-10,56154.21
Production,Real estate industry,2023-11,857005.43
Production,Real estate industry,2023-12,26079.02
Construction,Real estate industry,2023-01,865136.93
Construction,Real estate industry,2023-02,1974764.23
Construction,Real estate industry,2023-03,118979.56
Construction,Real estate industry,2023-04,351462.83
Construction,Real estate industry,2023-05,33502.79
Construction,Real estate industry,2023-06,452726.06
Construction,Real estate industry,2023-07,305159.78
Construction,Real estate industry,2023-08,409628.39
Construction,Real estate industry,2023-09,576694.45
Construction,Real estate industry,2023-10,185371.65
Construction,Real estate industry,2023-11,167152.05
Construction,Real estate industry,2023-12,2017146.3
"Distribution, transport, hotels and restaurants",Real estate industry,2023-01,85162.75
"Distribution, transport, hotels and restaurants",Real estate industry,2023-02,1906.13
"Distribution, transport, hotels and restaurants",Real estate industry,2023-03,144523.88
"Distribution, transport, hotels and restaurants",Real estate industry,2023-04,27476.08
"Distribution, transport, hotels and restaurants",Real estate industry,2023-05,157967.36
"Distribution, transport, hotels and restaurants",Real estate industry,2023-06,4627.19
"Distribution, transport, hotels and restaurants",Real estate industry,2023-07,61777.89
"Distribution, transport, hotels and restaurants",Real estate industry,2023-08,54286.41
"Distribution, transport, hotels and restaurants",Real estate industry,2023-09,24349.86
"Distribution, transport, hotels and restaurants",Real estate industry,2023-10,78882.65
"Distribution, transport, hotels and restaurants",Real estate industry,2023-11,18076.02
"Distribution, transport, hotels and restaurants",Real estate industry,2023-12,14692.79
Information and communication,Real estate industry,2023-01,211564.84
Information and communication,Real estate industry,2023-02,126946.95
Information and communication,Real estate industry,2023-03,244308.13
Information and communication,Real estate industry,2023-04,12362.62
Information and communication,Real estate industry,2023-05,26472.11
Information and communication,Real estate industry,2023-06,137456.82
Information and communication,Real estate industry,2023-07,195830.12
Information and communication,Real estate industry,2023-08,132856.3
Information and communication,Real estate industry,2023-09,239540.67
Information and communication,Real estate industry,2023-10,187437.25
Information and communication,Real estate industry,2023-11,195796.91
Information and communication,Real estate industry,2023-12,32804.27
Finance and insurance,Real estate industry,2023-01,88495.96
Finance and insurance,Real estate industry,2023-02,173689.04
Finance and insurance,Real estate industry,2023-03,368341.13
Finance and insurance,Real estate industry,2023-04,217206.26
Finance and insurance,Real estate industry,2023-05,14719.37
Finance and insurance,Real estate industry,2023-06,99608.19
Finance and insurance,Real estate industry,2023-07,52716.72
Finance and insurance,Real estate industry,2023-08,42888.05
Finance and insurance,Real estate industry,2023-09,56344.19
Finance and insurance,Real estate industry,2023-10,163547.15
Finance and insurance,Real estate industry,2023-11,84304.13
Finance and insurance,Real estate industry,2023-12,26637.78
Real estate,Real estate industry,2023-01,46988.81
Real estate,Real estate industry,2023-02,436931.28
Real estate,Real estate industry,2023-03,150010.27
Real estate,Real estate industry,2023-04,37121.08
Real estate,Real estate industry,2023-05,208820.64
Real estate,Real estate industry,2023-06,340008.5
Real estate,Real estate industry,2023-07,163809.2
Real estate,Real estate industry,2023-08,828440.75
Real estate,Real estate industry,2023-09,2003385.58
Real estate,Real estate industry,2023-10,556123.51
Real estate,Real estate industry,2023-11,313782.27
Real estate,Real estate industry,2023-12,566773.11
Professional and support activities,Real estate industry,2023-01,236388.21
Professional and support activities,Real estate industry,2023-02,427942.72
Professional and support activities,Real estate industry,2023-03,360066.43
Professional and support activities,Real estate industry,2023-04,759337.73
Professional and support activities,Real estate industry,2023-05,366586.1
Professional and support activities,Real estate industry,2023-06,299121.26
Professional and support activities,Real estate industry,2023-07,241623.14
Professional and support activities,Real estate industry,2023-08,1591514.74
Professional and support activities,Real estate industry,2023-09,757496.19
Professional and support activities,Real estate industry,2023-10,523187.17
Professional and support activities,Real estate industry,2023-11,231910.46
Professional and support activities,Real estate industry,2023-12,3095671.85
"Government, health and education",Real estate industry,2023-01,24975.33
"Government, health and education",Real estate industry,2023-02,7922.75
"Government, health and education",Real estate industry,2023-03,5055.93
"Government, health and education",Real estate industry,2023-04,339.61
"Government, health and education",Real estate industry,2023-05,7442.79
"Government, health and education",Real estate industry,2023-06,960.39
"Government, health and education",Real estate industry,2023-07,5463.95
"Government, health and education",Real estate industry,2023-08,5854.03
"Government, health and education",Real estate industry,2023-09,2057.86
"Government, health and education",Real estate industry,2023-10,3261.54
"Government, health and education",Real estate industry,2023-11,37913.95
"Government, health and education",Real estate industry,2023-12,7562.88
Other services,Real estate industry,2023-01,1405.99
Other services,Real estate industry,2023-02,29320.33
Other services,Real estate industry,2023-03,7884.99
Other services,Real estate industry,2023-04,7764.56
Other services,Real estate industry,2023-05,15855.24
Other services,Real estate industry,2023-06,52503.19
Other services,Real estate industry,2023-07,870.21
Other services,Real estate industry,2023-08,2606.61
Other services,Real estate industry,2023-09,26440.85
Other services,Real estate industry,2023-10,1374.45
Other services,Real estate industry,2023-11,6379.98
Other services,Real estate industry,2023-12,3455.6
Total [note 4],Real estate industry,2023-01,1514447.28
Total [note 4],Real estate industry,2023-02,64967.86
Total [note 4],Real estate industry,2023-03,9840339.09
Total [note 4],Real estate industry,2023-04,2431006.74
Total [note 4],Real estate industry,2023-05,2826488.21
Total [note 4],Real estate industry,2023-06,1490825.72
Total [note 4],Real estate industry,2023-07,2325717.13
Total [note 4],Real estate industry,2023-08,2732410.28
Total [note 4],Real estate industry,2023-09,977850.44
Total [note 4],Real estate industry,2023-10,1489673.62
Total [note 4],Real estate industry,2023-11,978370.52
Total [note 4],Real estate industry,2023-12,3561461.11
Agriculture,Professional and support activities industry,2023-01,94508.21
Agriculture,Professional and support activities industry,2023-02,132390.12
Agriculture,Professional and support activities industry,2023-03,168243.71
Agriculture,Professional and support activities industry,2023-04,79259.07
Agriculture,Professional and support activities industry,2023-05,85905.19
Agriculture,Professional and support activities industry,2023-06,32773.37
Agriculture,Professional and support activities industry,2023-07,81463.08
Agriculture,Professional and support activities industry,2023-08,44262.35
Agriculture,Professional and support activities industry,2023-09,6055.29
Agriculture,Professional and support activities industry,2023-10,3813.94
Agriculture,Professional and support activities industry,2023-11,124213.88
Agriculture,Professional and support activities industry,2023-12,26488.79
Production,Professional and support activities industry,2023-01,1214228.94
Production,Professional and support activities industry,2023-02,5469833.95
Production,Professional and support activities industry,2023-03,951600.01
Production,Professional and support activities industry,2023-04,3597288.52
Production,Professional and support activities industry,2023-05,13849231.72
Production,Professional and support activities industry,2023-06,8377214.15
Production,Professional and support activities industry,2023-07,47122.98
Production,Professional and support activities industry,2023-08,4120269.48
Production,Professional and support activities industry,2023-09,3250611.37
Production,Professional and support activities industry,2023-10,1537898.15
Production,Professional and support activities industry,2023-11,3543165.75
Production,Professional and support activities industry,2023-12,1944752.98
Construction,Professional and support activities industry,2023-01,938290.51
Construction,Professional and support activities industry,2023-02,1566391.89
Construction,Professional and support activities industry,2023-03,348753.7
Construction,Professional and support activities industry,2023-04,1934027.6
Construction,Professional and support activities industry,2023-05,256167.51
Construction,Professional and support activities industry,2023-06,266278.52
Construction,Professional and support activities industry,2023-07,197866.86
Construction,Professional and support activities industry,2023-08,955727.91
Construction,Professional and support activities industry,2023-09,591330.75
Construction,Professional and support activities industry,2023-10,1957741.74
Construction,Professional and support activities industry,2023-11,1028262.18
Construction,Professional and support activities industry,2023-12,537030.82
"Distribution, transport, hotels and restaurants",Professional and support activities industry,2023-01,238528.64
"Distribution, transport, hotels and restaurants",Professional and support activities industry,2023-02,6915761.01
"Distribution, transport, hotels and restaurants",Professional and support activities industry,2023-03,1668871.9
"Distribution, transport, hotels and restaurants",Professional and support activities industry,2023-04,3981094.95
"Distribution, transport, hotels and restaurants",Professional and support activities industry,2023-05,2261807.83
"Distribution, transport, hotels and restaurants",Professional and support activities industry,2023-06,116375.4
"Distribution, transport, hotels and restaurants",Professional and support activities industry,2023-07,19127.03
"Distribution, transport, hotels and restaurants",Professional and support activities industry,2023-08,2750661.82
"Distribution, transport, hotels and restaurants",Professional and support activities industry,2023-09,1054089.73
"Distribution, transport, hotels and restaurants",Professional and support activities industry,2023-10,1367838.65
"Distribution, transport, hotels and restaurants",Professional and support activities industry,2023-11,7487868.95
"Distribution, transport, hotels and restaurants",Professional and support activities industry,2023-12,2653122.08
Information and communication,Professional and support activities industry,2023-01,76214.54
Information and communication,Professional and support activities industry,2023-02,3162343.14
Information and communication,Professional and support activities industry,2023-03,2019766.32
Information and communication,Professional and support activities industry,2023-04,527121.38
Information and communication,Professional and support activities industry,2023-05,1377120.2
Information and communication,Professional and support activities industry,2023-06,738056.58
Information and communication,Professional and support activities industry,2023-07,10265033.83
Information and communication,Professional and support activities industry,2023-08,3546225.75
Information and communication,Professional and support activities industry,2023-09,1290815.19
Information and communication,Professional and support activities industry,2023-10,2383083.33
Information and communication,Professional and support activities industry,2023-11,2642447.46
Information and communication,Professional and support activities industry,2023-12,2763409.28
Finance and insurance,Professional and support activities industry,2023-01,26479.64
Finance and insurance,Professional and support activities industry,2023-02,1285590.61
Finance and insurance,Professional and support activities industry,2023-03,691887.79
Finance and insurance,Professional and support activities industry,2023-04,903194.09
Finance and insurance,Professional and support activities industry,2023-05,493077.3
Finance and insurance,Professional and support activities industry,2023-06,979815.93
Finance and insurance,Professional and support activities industry,2023-07,3522588.36
Finance and insurance,Professional and support activities industry,2023-08,872839.86
Finance and insurance,Professional and support activities industry,2023-09,994484.36
Finance and insurance,Professional and support activities industry,2023-10,1465901.82
Finance and insurance,Professional and support activities industry,2023-11,505866.11
Finance and insurance,Professional and support activities industry,2023-12,35038.13
Real estate,Professional and support activities industry,2023-01,1774376.9
Real estate,Professional and support activities industry,2023-02,239538.06
Real estate,Professional and support activities industry,2023-03,197898.29
Real estate,Professional and support activities industry,2023-04,2044461.0
Real estate,Professional and support activities industry,2023-05,367519.9
Real estate,Professional and support activities industry,2023-06,266003.22
Real estate,Professional and support activities industry,2023-07,1197667.16
Real estate,Professional and support activities industry,2023-08,119510.28
Real estate,Professional and support activities industry,2023-09,2054499.19
Real estate,Professional and support activities industry,2023-10,165139.0
Real estate,Professional and support activities industry,2023-11,3303740.72
Real estate,Professional and support activities industry,2023-12,1689188.27
Professional and support activities,Professional and support activities industry,2023-01,3390948.6
Professional and support activities,Professional and support activities industry,2023-02,504744.72
